Scientific.Name,Common.Name
Cryptolaemus montrouzieri,"mealybug ladybird, mealybug destroyer"
Cycloneda munda,polished ladybird beetle
Agrotis ipsilon,"Dark Sword-Grass, Black Cutworm, Greasy Cutworm, Floodplain Cutworm, Ipsilon Dart"
Melanoplus differentialis,Differential Grasshopper
Lochmaeus bilineata,double-lined prominent moth
Phanogomphus spicatus,dusky clubtail
Euschistus tristigmus,dusky stink bug
Choristoneura fumiferana,eastern spruce budworm
Menecles insertus,Elf Shoe Stink bug
Ashy gray lady beetle,Epilachna beetle
Gryllus campestris,"European field cricket, field cricket"
Lymantria dispar,european gypsy moth
Mantis religiosa,European Mantis
Exochomus quadripustulatus,"Pine ladybird, pine lady beetle"
Spodoptera frugiperda,Fall Armyworm
Alsophila pometaria,Fall Cankerworm 
Hyphantria cunea,fall webworm
Pseudomantis albofimbriata,False garden mantis
Nepytia canosaria,False Hemlock Looper Moth
Lygaeus turcicus,false milkweed bug
Leptinotarsa juncta,false potato beetle
Euthyrhynchus floridanus,Florida predatory stink bug
Bicyrtes quadrifasciatus,four-banded stink bug hunter wasp
Phyllopertha horticola,garden chafer
Achyra rantalis,Garden Webworm 
Hierodula patellifera,Giant Asian mantis
Caligo telamonius,"giant owl, pale owl"
Saturnia pyri,"Giant peacock moth, Aristotle's silkworm"
Megaphasma denticrus,Giant Walkingstick
Habrodais grunus,Golden Hairstreak
Feltia subterranea,"granulate cutworm,tawny shoulder"
Aiolopus strepens,Grasshopper
Xenocatantops humilis,Grasshopper
Hamadryas februa,Gray cracker
Lycaena xanthoides,Great copper butterfly
Banasa dimidiata,green burgundy stink bug
Hypena scabra,green cloverworm
Orthosia hibisci,green fruitworm
Palomena prasina,Green shield bugs
Chinavia hilaris,"green stink bug, green soldier bug"
Diachrysia balluca,Green-Patched Looper
Chortophaga viridifasciata,Green-striped grasshopper
Amata huebneri,HÃ¼bner's Wasp Moth 
Enallagma hageni,Hagen's Bluet
Bombus vagans,Half-black bumble beeÂ 
Halyzia sedecimguttata,orange ladybird
Harmonia axyridis,Asian lady beetle
Harmonia conformis,the large spotted ladybird
Henosepilachna vigintioctopunctata,28-spotted potato ladybird
Hippodamia covergens,Convergent Lady beetle/13 black spots
Hippodamia variegata,Adonis ladybird
Bombus huntii,Hunt's Bumble Bee
Illeis galbula,Fungus-eating Ladybird
Melipotis indomita,Indomitable Graphic Moth
Zopherus nodulosus,Iornclad Beetle
Orientus ishidae,"Japanese leafhopper, Mosaic leafhopper"
Archimantis latistyla,Large Brown Mantis
Bombus lapidarius,"Large Red-tailed Humble-bee,Red tailed bumblebee, Stone Humble-bee"
Spodoptera mauritia,"Lawn Armyworm, Paddy Swarming Caterpillar"
Zelus renardii,Leaf Hopper Assissan Bug
Bombus citrinus,lemon cuckoo bumblebee
Pompeius verna,Little Glassywing 
Urbanus proteus,Long-tailed Skipper
Adelphocoris lineolatus,"Lucerne Bug, Alfalfa Plant Bug"
Nomophila nearctica,"Lucerne Moth, Clover Nomophila, False Webworm, Celery Stalkworm, American Celery Webworm"
Tessaratoma papillosa,Lychee Giant Stink Bug
Toxomerus occidentalis,Maize Calligrapher
Carcharodus alceae,mallow skipper
Callistethus marginatus,Margined Shining Leaf Chafer
Phaneroptera nana,"mediterranean katydid, southern sickle bush-cricket"
Iris oratoria,Mediterranean mantis
Oecanthus niveus,narrow-winged tree cricket or snowy tree cricket
Bombus nevadensis,Nevada bumblebee
Tapinoma sessile,Odorous House Ant
Obeidia tigrata,Orange Magpie Moth or Brown Tiger Moth
Bombus ternarius,orange-belted bumblebee or tricolored bumblebee
Erebus ephesperis,Owl Moth
Arachnis picta,Painted Tiger Moth
Crambidia pallida,pale lichen moth
Phyciodes tharos,Pearl Crescent
Eleodes obscura,"Pinacate Beetle, Desert Stink Beetle"
Exochomus quadripustulatus,"Pine ladybird, pine lady beetle"
Anisota virginiensis,Pink-Striped Oakworm Moth
Danaus chrysippus,"Plain tiger, african queen, african monarch"
Propylea quatuordecimpunctata,14-spotted ladybird beetle
Psyllobora vigintiduopunctata,20 spotted lady beetle
Psyllobora vigintiduopunctata,22-spot ladybird
Apatura iris,Purple Emperor
Evergestis pallidata,Purple-backed Cabbageworm
Ophraella communa,ragweed leaf beetle
Vanessa atalanta,Red Admiral
Graphosoma semipunctatum,Red Half-spotted Stink Bug
Bombus rufocinctus,red-belted bumblebee
Elasmostethus cruciatus,"Red-Cross Shield Bug, Redcrossed Stink Bug"
Thyanta custator,Red-shouldered Stink Bug
Oebalus pugnax,rice stinkbug
Acharia stimulea,Saddleback Caterpillar 
Syngrapha rectangula,"Salt And Pepper Looper, Angulated Cutworm"
Chlorochroa sayi,Say's stink bug
Libellula fulva,scarce chaser
Cantao ocellatus,shield bug
Cupido argiades,short-tailed blue
Lygaeus kalmii,"small milkweed bug, common milkweed bug"
Bombus sonorus,sonoran bumble bee
Nola cereella,Sorghum Webworm
Herpetogramma bipunctalis,southern beet webworm moth
Nezara viridula,Southern Green Stink Bug
Chortophaga australior,southern green-striped grasshopper
Lestes australis,southern spreadwing
Chrysodeixis includens,soybean looper moth
Sparganothis sulfureana,"sparganothis fruitworm moth, blueberry leafroller"
Diabrotica undecimpunctata,"Spotted Cucumber Beetle, Southern Corn Rootworm"
Pantala hymenaea,Spot-winged Glider
Paleacrita vernata,spring cankerworm
Lucanus cervus,stag beetle
Trichordestra legitima,Striped Garden Caterpillar
Amphimallon solstitiale,"Summer Chafer, European June Beetle"
Lygus lineolaris,tarnished plant bug
Micromus tasmaniae,Tasmanian Brown Lacewing
Asterocampa clyton,Tawny Emperor 
Pseudosphinx tetrio,"tetrio sphinx, giant gray sphinx, frangipani hornworm,plumeria caterpillar."
Proxys punctulatus,the black stink bug
Graphocephala atropunctata,The blue-green sharpshooter
Poecilocoris lewisi,the clown stink bug
Apoda y-inversum,The Elf Butterfly
Microtia elva,The Elf Butterfly
Ostrinia nubilalis,the European corn worm or European high-flyer
Axylia putris,The flame
Bombus fervidus,"the golden northern bumble bee,yellow bumblebee"
Orthodera novaezealandiae,"the New Zealand mantis, the New Zealand praying mantis"
Anarta trifolii,"The Nutmeg, Clover Cutworm"
Polygonia interrogationis,The question mark
Megisto rubricata,The Red Satyr butterfly
Pycnoscelus surinamensis,"The Surinam cockroach, greenhouse cockroach"
Nigetia formosalis,Thin-Winged Owlet Moth
Lema daturaphila,three-lined potato beetle
Spodoptera litura,"Tobacco Cutworm, Cotton Leafworm"
Manduca sexta,Tobacco Hornworm
Helocassis clavata,"Tortoise Beetles,Thistle tortoise beetle"
Cosmopepla lintneriana,twice stabbed stink bug
Bombus bimaculatus,Two-spotted bumble bee
Gryllus bimaculatus,Two-spotted cricket
Agrotis porphyricollis,Variable Cutworm
Striacosta albicosta,Western Bean Cutworm
Libellula luctuosa,widow skimmer
Chalcolestes viridis,"willow emerald damselfly, western willow spreadwing."
Omocestus rufipes,Woodland Grasshopper
Vanessa itea,Yellow Admiral
Bombus vosnesenskii,Yellow face bumble bee 
