Scientific.Name,Common.Name,Name,English.Natural.language.captions,Scientific.terminology,ChatGPT,count
Satyrium spini,Blue spot hairstreak,Arti (example),"Brown colour butterfly with white dash, orange and blue spot on wings ","Butterfly underside hindwings  large blue spot, few orange black bordered spots. Underside  forewings, hindwings  crossed by a bright white transverse line. Hind wings short tails.","Satyrium spini, also known as the spine hairstreak, is a small butterfly found in North America. It has a wingspan of about 1.5 to 2 inches (3.8 to 5.1 cm) and is typically dark brown or black in color with blue and orange markings. The front wings have a distinctive spine-like projection at the end of the hind wing. The underside of the wings is a mottled brown color with orange and white markings. The spine hairstreak is often found in a variety of habitats, including forests, fields, and gardens. It feeds on the nectar of a variety of flowers and is attracted to bright, open areas.",798
Agrotis porphyricollis,Variable Cutworm,Arti (example),Moth with 4 spots on wings two small and two large,Moth two visible antennea and six pair of legs and  large dark spot at the tip of each wing prominent on under hindwings.,"Agrotis porphyricollis is a species of moth in the family Noctuidae. It is native to Europe, but has been introduced to various regions of the world, including parts of North America. The adult moth has a wingspan of about 2 inches (5 cm). The forewings are brown or gray in color, with a series of dark markings and a pale band running across the middle. The hindwings are similar in color, with a darker band near the outer margin. The larvae, or caterpillars, of this species are green with a series of dark stripes running along the length of the body. They can reach up to 1.5 inches (3.8 cm) in length when fully grown. Agrotis porphyricollis is a common and widespread species, and can be found in a variety of habitats, including forests, grasslands, and agricultural areas. It is often found on plants in the rose family (Rosaceae), such as apples and roses.",1416
Clepsis virescana,light brown apple moth,Arti (example),Light brown moth ,"Forewing color varies grayish brown to yellow brown, two antennae, slightly darker oblique markings distinguishing the area at the tip of the wing","Clepsis virescana, also known as the green fruitworm, is a species of moth in the Tortricidae family. It is native to North America and is found in a variety of habitats, including forests, fields, and gardens. The adult moth has a wingspan of about 1.5 inches (3.8 cm) and is generally brown or green in color with distinctive white and orange markings. The front wings have a series of white and orange bands, and the hindwings are mostly brown with an orange border. The underside of the wings is a mottled brown color with white and orange markings. The green fruitworm is active at night and is attracted to lights. It is known for its distinctive courtship behavior, in which the male performs a series of aerial displays to attract a mate.",623
Strymon istapa,"Mallow Hairstreak, Dotted Hairstreak, Hewitson's Hairstreak",Arti (example),Greyish butterfly with one big spot on wings,One short hindwing tail. Upperside dark gray; female blue-gray at lower half of hindwing. Underside hindwing gray with one round black spot ,Strymon istapa is a small butterfly with a wingspan of about 1.5 inches. The upper side of the wings is a bright orange-brown color with a black border and white spots. The underside of the wings is a pale yellow-brown color with a black border and white spots. The antennae are black and the body is black and white.,2210
Pyrisitia proterpia,Tailed Orange,Naresh,Yellowish orange color butterfly with brown color margin on upper side of the forewings,"Upper side orange; tip of forewing squared off. Male with black forewing costa; females with black forewing costa, apex, and outer margin","Pyrisitia proterpia is a small, colorful butterfly with a wingspan of approximately 1.5 inches (3.8 cm). The upper side of the wings is a bright orange-yellow color, with a black border and a white fringe. The underside of the wings is a pale yellow-orange color, with a black border and a white fringe. The body is black with yellow spots.",1429
Pyrrharctia isabella," Isabella tiger moth, the banded woolly bear, woolly bear, woolly worm",Naresh,Yellow color moth with black spots on wings,"Wings orange-yellow to yellowish brown. Forewing pointed; marked with faint brownish antemedial, median, and postmedial lines. Hindwing usually paler, flushed with pinkish orange in the female. ","Pyrrharctia isabella is a species of moth in the family Erebidae. It is a medium-sized moth with a wingspan of about 2.5 cm. The forewings are yellowish-brown with a black and white pattern, while the hindwings are yellowish-orange. The body is yellowish-brown with a black and white pattern. The antennae are black and white.",22757
Carcharodus alceae,mallow skipper,Naresh,Brown color butterfly with pinkish brown color wings and white spots on the forewings,"small, brown butterfly and its background color of the forewings is pinkish-brown with some white spots. The upper side of the hindwing is without white spots, brownish or grey-brown colored.",Carcharodus alceae is a small butterfly species with a wingspan of about 30-35 mm. The upper side of the wings is a pale yellowish-brown color with a white band running across the middle. The underside of the wings is a light greyish-brown color with a white band running across the middle. The antennae are black and white in color. The body is black and white in color with a yellowish-brown stripe running down the middle.,1825
Dythemis velox,Swift Setwing,Naresh,Reddish black dragonfly,"Reddish brown thorax with black abdomen, wings with black veins","Dythemis velox, also known as the swift setwing, is a species of dragonfly in the Libellulidae family. It is native to North America and is found in a variety of habitats, including forests, fields, and gardens. The adult dragonfly has a length of about 2 inches (5 cm) and is generally brown or black in color with distinctive yellow and red markings. The thorax and abdomen are covered in short hairs, and the wings are transparent. The swift setwing is active during the day and is often seen flying near water, where it feeds on insects. It is known for its distinctive courtship behavior, in which the male uses its claspers to grasp the female's thorax.",3403
Junonia coenia,"common buckeye, buckeye",Naresh,Brown butterfly with orange and white shades and blue-black colored eyespots on the wings,"brown with orange, black, white, blue, and magenta colored butterflies, more distal eyespots with a bluish center on both forewings and hindwings.",Junonia coenia is a medium-sized butterfly with a wingspan of approximately 2.5 inches. The upper side of the wings is brown with a white band across the middle and a row of orange spots along the edges. The underside of the wings is grayish-brown with a pattern of white and orange spots. The body is black with white spots on the abdomen.,29818
Sphecodina abbottii,Abbott's sphinx,Naresh,Brown color bee-like moth with a strong yellow band on its wings; It make buzz sounds like bees while fly,"strong yellow banded hindwings, Forewings are violet grey with bark like pattern of swirling black lines","Sphecodina abbottii is a small, black and yellow bee species. It has a black head, thorax, and abdomen, with yellow stripes on the abdomen. Its wings are transparent and its legs are yellow. It has a short proboscis and a short tongue. Its body length is about 8-10 mm.",1087
Anthocharis cardamines,Orange Tip Butterfly,Naresh,White-winged butterfly with orange tip on the male  and multi-colors on female wings,"white upper side wings. Orange-tipped forewings in males, females have small black tips, mottled green pattern on wing underside","Anthocharis cardamines is a small butterfly with a wingspan of about 2.5 cm. It has a bright orange upper surface with black spots and a white underside with black spots. The antennae are black and white, and the legs are black. The caterpillar is green with black stripes and yellow spots.",6787
Belenois java,"caper white, common white",Naresh,White-winged butterfly with light brown to black spots and margins on wings.,"Male butterfly with white wings, on fore wings a broad black apical patch, Upper surfaces of hind wings with black terminal border. Orange wing upper surfaced female",Belenois java is a medium-sized butterfly with a wingspan of about 3.5 cm. The upper side of the wings is a pale yellowish-brown color with a black border and a white spot near the tip of the forewing. The underside of the wings is a pale yellowish-brown with a white band and a black border. The body is black with yellowish-brown markings.,2572
Glyphodes onychinalis,Swan plant moth,Naresh,Brown colored moth with white patches on all over the parts.,Striking brown moths with white pattern,"Glyphodes onychinalis, also known as the onychinalis glyphodes moth, is a species of moth in the Crambidae family. It is native to North America and is found in a variety of habitats, including forests, fields, and gardens. The adult moth has a wingspan of about 1.5 inches (3.8 cm) and is generally brown or black in color with distinctive white and orange markings. The front wings have a series of white and orange bands, and the hindwings are mostly brown with an orange border. The underside of the wings is a mottled brown color with white and orange markings. The onychinalis glyphodes moth is active at night and is attracted to lights. It is known for its distinctive courtship behavior, in which the male performs a series of aerial displays to attract a mate.",563
