,Scientific Name,Common Name,Order,Family
0,Cicindela purpurea,purple tiger beetle,Coleoptera,Carabidae
1,Geometra papilionaria,Large emerald,Lepidoptera,Geometridae
2,Arctia caja,Garden Tiger Moth,Lepidoptera,Erebidae
3,Ctenoplusia oxygramma,sharp stigma looper moth,Lepidoptera,Noctuidae
4,Anthidium manicatum,European Wool Carder Bee,Hymenoptera,Megachilidae
5,Eristalis transversa,"transverse-banded flower fly,",Diptera,Syrphidae
6,Destolmia lineata,Streaked Notodontid,Lepidoptera,Notodontidae
7,Pseudagrion pilidorsum,Red Sprite,Odonata,Coenagrionidae
8,Vanessa carye,Western Painted Lady,Lepidoptera,Nymphalidae
9,Poecilanthrax lucifer,Bee Fly,Diptera,Bombyliidae
10,Xylotrechus colonus,Rustic Borer,Coleoptera,Cerambycidae
11,Eumorpha satellitia,Satellite sphinx,Lepidoptera,Sphingidae
12,Anthrenus verbasci,Varied Carpet Beetle,Coleoptera,Dermestidae
13,Phoebis philea,Orange-barred sulphur,Lepidoptera,Pieridae
14,Toxomerus politus,Maize Calligrapher,Diptera,Syrphidae
15,Ormenoides venusta,flatid planthopper,Hemiptera,Flatidae
16,Adalia decempunctata,"Ten-Spotted Ladybird, Ten-Spotted Lady Beetle",Coleoptera,Coccinellidae
17,Erythemis vesiculosa,	Great Pondhawk,Odonata,Libellulidae
18,Acronicta superans,Splendid Dagger Moth,Lepidoptera,Noctuidae
19,Lestes sponsa,emerald damselfly,Odonata,Lestidae
20,Anax junius,"Green Darner, Common Green Darner",Odonata,Aeshnidae
21,Orthetrum pruinosum,crimson-tailed marsh hawk,Odonata,Libellulidae
22,Smyrna blomfildia,Blomfild's beauty,Lepidoptera,Nymphalidae
23,Cactophagus spinolae,"Large Cactus Weevil,Prickly Pear Weevil",Coleoptera,Curculionidae
24,Periplaneta americana,american cockroach,Blattodea,Blattidae
25,Neotibicen tibicen,"Swamp Cicada, Morning Cicada",Hemiptera,Cicadidae
26,Macrodiplax balteata,marl pennant ,Odonata,Libellulidae
27,Mycalesis mineus,Dark Brand Bush Brown Butterfly,Lepidoptera,Nymphalidae
28,Phyllocnistis populiella,"The common aspen leaf miner, aspen serpentine leafminer",Lepidoptera,Gracillariidae
29,Rosalia funebris,banded alder borer,Coleoptera,Cerambycidae
30,Glycaspis brimblecombei,red gum lerp psyllid,Hemiptera,Aphalaridae
31,Cantharis fusca,soldier beetle,Coleoptera,Cantharidae
32,Nicrophorus tomentosus,Tomentose Burying Beetle,Coleoptera,Silphidae
33,Microcrambus biguttellus,Gold-Stripe Grass-Veneer Moth,Lepidoptera,Crambidae
34,Hesperia leonardus,Pawnee Montane Skipper,Lepidoptera,Hesperiidae
35,Psyllobora vigintimaculata,twenty-spotted lady beetle,Coleoptera,Coccinellidae
36,Drepana falcataria,Pebble Hooktip,Lepidoptera,Drepanidae
37,Boloria dia,"Weaver's fritillary,violet fritillary",Lepidoptera,Nymphalidae
38,Lomographa vestaliata,white spring moth,Lepidoptera,Geometridae
39,Celithemis martha,Martha's pennant,Odonata,Libellulidae
40,Hemideina crassidens,the Wellington tree wētā,Orthoptera,Anostostomatidae
41,Alaus lusciosus,Texas Click Beetle ,Coleoptera,Elateridae
42,Chilades lajus,Lime Blue,Lepidoptera,Lycaenidae
43,Vanessa kershawi,Australian Painted Lady,Lepidoptera,Nymphalidae
44,Ennomos subsignaria,Elm Spanworm Moth,Lepidoptera,Geometridae
45,Chloroclystis inductata,,Lepidoptera,Geometridae
46,Cerma cerintha,tufted bird dropping moth,Lepidoptera,Noctuidae
47,Calophasia lunula,"toadflax moth, toadflax brocade moth",Lepidoptera,Noctuidae
48,Polistes apachus,"Apache Paper Wasp, Apache Wasp",Hymenoptera,Vespidae
49,Anavitrinella pampinaria,Common Gray Moth,Lepidoptera,Geometridae
50,Lithacodia musta,small mossy lithacodia,Lepidoptera,Noctuidae
51,Bombus terrestris,"Buff tailed bumblebee, Buff-tailed bumblebee, Buff-tailed Humble-bee, Large Earth Humble-bee",Hymenoptera,Apidae
52,Parapoynx allionealis,watermilfoil leafcutter moth,Lepidoptera,Crambidae
53,Melanchra adjuncta,Hitched Arches,Lepidoptera,Noctuidae
54,Colias philodice,clouded sulphur,Lepidoptera,Pieridae
55,Feralia comstocki,"Comstock's sallow,",Lepidoptera,Noctuidae
56,Libellula semifasciata,painted skimmer,Odonata,Libellulidae
57,Philaenus spumarius,"meadow froghopper, meadow spittlebug",Hemiptera,Aphrophoridae
58,Calopteryx aequabilis,River jewelwing,Odonata,Calopterygidae
59,Junonia lemonias,the lemon pansy,Lepidoptera,Nymphalidae
60,Libytheana carinenta,American snout butterfly,Lepidoptera,Nymphalidae
61,Idaea demissaria,red-bordered wave moth,Lepidoptera,Geometridae
62,Neoponera villosa,Hairy Panther Ant,Hymenoptera,Formicidae
63,Pelopidas mathias,small branded swift,Lepidoptera,Hesperiidae
64,Eooxylides tharis,Branded Imperial ,Lepidoptera,Lycaenidae
65,Chimarocephala pacifica,Painted meadow grasshopper,Orthoptera,Acrididae
66,Jamides celeno,Common cerulean,Lepidoptera,Lycaenidae
67,Ypthima huebneri,Common Four-ring,Lepidoptera,Nymphalidae
68,Coccinella californica,california lady beetle,Coleoptera,Coccinellidae
69,Catocala relicta,white underwing,Lepidoptera,Erebidae
70,Morrisonia confusa,Confused Woodgrain Moth,Lepidoptera,Noctuidae
71,Anaea aidea,Tropical Leafwing,Lepidoptera,Nymphalidae
72,Lycaena phlaeas,"small copper, american copper, common copper",Lepidoptera,Lycaenidae
73,Iridopsis larvaria,bent-line gray,Lepidoptera,Geometridae
74,Enallagma divagans,Turquoise Bluet,Odonata,Coenagrionidae
75,Maliattha concinnimacula,Red-spotted maliattha,Lepidoptera,Noctuidae
76,Lycaena virgaureae,scarce copper,Lepidoptera,Lycaenidae
77,Banasa euchlora," juniper stink bug, jade stinkbug",Hemiptera,Pentatomidae
78,Plebejus samuelis,Karner blue butterfly,Lepidoptera,Lycaenidae
79,Pyromorpha dimidiata,orange-patched smoky moth,Lepidoptera,Zygaenidae
80,Conocephalus brevipennis,short-winged meadow katydid,Orthoptera,Tettigoniidae
81,Nicrophorus orbicollis,Roundneck Sexton Beetle,Coleoptera,Silphidae
82,Osmia bicornis,Red mason bee,Hymenoptera,Megachilidae
83,Caripeta divisata,"gray spruce looper, twin-spot girdle",Lepidoptera,Geometridae
84,Argia emma,Emma's Dancer,Odonata,Coenagrionidae
85,Austroagrion watsoni,eastern billabongfly,Odonata,Coenagrionidae
86,Coccinella transversalis,"Transverse ladybird, transverse lady beetle",Coleoptera,Coccinellidae
87,Cepora nerissa, common gull,Lepidoptera,Pieridae
88,Palomena prasina,Green shield bugs,Hemiptera,Pentatomidae
89,Darapsa myron,virginia creeper sphinx,Lepidoptera,Sphingidae
90,Thasus gigas,,Hemiptera,Coreidae
91,Xylocopa tabaniformis,horsefly-like carpenter bee,Hymenoptera,Apidae
92,Agriphila straminella,Straw Grass-Veneer,Lepidoptera,Crambidae
93,Bombus huntii,Hunt's Bumble Bee,Hymenoptera,Apidae
94,Ypthima baldus,Common Five-ring,Lepidoptera,Nymphalidae
95,Erinnyis ello,Ello Sphinx Moth,Lepidoptera,Sphingidae
96,Climaciella brunnea,wasp mantidfly,Neuroptera,Mantispidae
97,Leucorrhinia proxima,belted whiteface,Odonata,Libellulidae
98,Ceriagrion glabrum," common orange, common citril, common pond damsel, common waxtail, orange waxtail, gewone aljander.",Odonata,Coenagrionidae
99,Utetheisa pulchella,"Crimson-speckled Flunkey, Crimson-speckled Footman, Crimson-speckled Moth",Lepidoptera,Erebidae
100,Crambus perlella,Immaculate grass-veneer,Lepidoptera,Crambidae
101,Libellula needhami,Needham's skimmer,Odonata,Libellulidae
102,Smerinthus ocellata,Eyed hawk-moth,Lepidoptera,Sphingidae
103,Timandra amaturaria,"Cross-lined Wave Moth, Cobra Inchworm",Lepidoptera,Geometridae
104,Sphaenothecus bilineatus,double-banded bycid,Coleoptera,Cerambycidae
105,Moodna ostrinella,Darker Moodna Moth,Lepidoptera,Pyralidae
106,Nephelodes minians,Bronzed Cutworm Moth,Lepidoptera,Noctuidae
107,Trichodes ornatus,Ornate Checkered Beetle,Coleoptera,Cleridae
108,Zeuzera pyrina,"Lepard Moth, Wood Lepard Moth",Lepidoptera,Cossidae
109,Pyrops candelaria," Lantern Bug, Longan Lanternfly.",Hemiptera,Fulgoridae
110,Burnsius communis,Common checkered-skipper,Lepidoptera,Hesperiidae
111,Libellula luctuosa,widow skimmer,Odonata,Libellulidae
112,Polites vibex,whirlabout,Lepidoptera,Hesperiidae
113,Callophrys dumetorum,"the coastal green hairstreak, bramble green hairstreak, bluish green hairstreak",Lepidoptera,Lycaenidae
114,Dynamine postverta,"Mylitta Greenwing, Four-Spot Sailer, 
Mexican Sailor",Lepidoptera,Nymphalidae
115,Papilio garamas,magnificent swallowtail,Lepidoptera,Papilionidae
116,Veromessor pergandei,Black Harvester Ant,Hymenoptera,Formicidae
117,Arctia virginalis,Ranchmans Tiger Moth,Lepidoptera,Erebidae
118,Bombus ternarius,orange-belted bumblebee or tricolored bumblebee,Hymenoptera,Apidae
119,Callimorpha dominula,The scarlet tiger moth,Lepidoptera,Erebidae
120,Pantala hymenaea,Spot-winged Glider,Odonata,Libellulidae
121,Opisthograptis luteolata,brimstone moth,Lepidoptera,Geometridae
122,Gelastocoris oculatus,toad bug,Hemiptera,Gelastocoridae
123,Catochrysops strabo,Forget-me-not,Lepidoptera,Lycaenidae
124,Argia bipunctulata,Seepage Dancer,Odonata,Coenagrionidae
125,Psamatodes abydata,the dot-lined angle,Lepidoptera,Geometridae
126,Trichodes apiarius,Bee Beetle,Coleoptera,Cleridae
127,Peribalus strictus,vernal shieldbug,Hemiptera,Pentatomidae
