ScientificName,order,family,CommonName,GPT4_Desc,Expert Annotation
Cryptolaemus montrouzieri,Coleoptera,Coccinellidae,"mealybug ladybird, mealybug destroyer","['cryptolaemus montrouzieri, commonly known as the mealybug destroyer, is a beneficial ladybird beetle species used for biological control of mealybugs and other soft-bodied pests. here are some key morphological identifying features:', '1. size: adult cryptolaemus montrouzieri are small, typically 3-4 mm in length.', '2. coloration: adults are predominantly dark brown or black, with a characteristic orange or reddish head and posterior end. the larvae are often covered in a white, waxy secretion, giving them a mealy or cottony appearance, which is similar to the mealybugs they prey on.', '3. body shape: adults have a somewhat elongated and oval body shape, typical of many ladybird beetles.', '4. wings: adult cryptolaemus montrouzieri have two pairs of wings, with the front pair being hardened and serving as a protective cover for the hind pair, which is used for flying.', '5. head: the head of cryptolaemus montrouzieri is relatively small and slightly concealed by the pronotum (the first segment of the thorax).', '6. eyes: the eyes are large, compound, and typically black or dark brown.', '7. antennae: the antennae are short, club-shaped, and have 8 to 10 segments.', '8. legs: cryptolaemus montrouzieri have six legs, with the hind pair being slightly longer than the others, which helps in jumping and running.', '9. larvae: the larvae of cryptolaemus montrouzieri are elongated, segmented, and have well-developed legs. they are covered in a white, waxy secretion, which camouflages them among the mealybugs they prey on.', '10. pupa: the pupal stage of cryptolaemus montrouzieri is typically found attached to plant surfaces, and the pupa is covered in the same white, waxy secretion as the larvae.', 'these morphological features can help in identifying cryptolaemus montrouzieri in the field or in laboratory settings.']",ladybird. black wings. red head. white particle coating
Cycloneda munda,Coleoptera,Coccinellidae,polished ladybird beetle,"['cycloneda munda, commonly known as the polished lady beetle, is a species of ladybird beetle native to north america. the following are some morphological identifying features of cycloneda munda:', '1. size: cycloneda munda is a small to medium-sized ladybird beetle, with adults typically measuring between 4 to 6 millimeters in length.', '2. color: the body of cycloneda munda is predominantly shiny red or orange, with a polished appearance that gives it its common name. the color may vary slightly between individuals, with some appearing more orange-red or even pinkish.', '3. head: the head of cycloneda munda is black, often with a white or pale yellow marking on the front, resembling an ""m"" or ""w"" shape. this marking is a key identifying feature of the species.', '4. elytra: the elytra (wing covers) of cycloneda munda are smooth and shiny, with no spots or markings. this distinguishes it from other ladybird beetles that have spotted elytra, such as the more common coccinella septempunctata (seven-spotted ladybird).', '5. pronotum: the pronotum (the plate-like structure that covers the thorax) is black, often with a white or pale yellow border. this feature helps to distinguish cycloneda munda from other similar-looking ladybird species.', '6. legs: the legs of cycloneda munda are black or dark brown, with tarsi (foot segments) that are lighter in color, usually pale yellow or brown.', '7. antennae: the antennae of cycloneda munda are relatively short and club-shaped, with the last three segments being wider and more rounded than the others. this is a common feature among ladybird beetles.', '8. body shape: cycloneda munda has a typical ladybird beetle body shape, with a rounded, convex dorsal surface and a flatter ventral surface. the body is widest at the elytra and tapers towards the head and the tip of the abdomen.', 'by observing these morphological identifying features, one can identify cycloneda munda among other ladybird beetles.']","Red ladybug, no dark spots."
Agrotis ipsilon,Lepidoptera,Noctuidae,"Dark Sword-Grass, Black Cutworm, Greasy Cutworm, Floodplain Cutworm, Ipsilon Dart","['agrotis ipsilon, commonly known as the black cutworm or dark sword-grass moth, is a nocturnal moth species found in various parts of the world. here are some morphological identifying features of agrotis ipsilon:', '1. size: adult moths have a wingspan of about 38-50 mm (1.5-2 inches) and a body length of approximately 17-22 mm (0.7-0.9 inches).', '2. color: the forewings of the adult moths are generally dark gray to brownish-black, with lighter gray or brown patches and markings. the hindwings are lighter in color, usually pale gray or brown with a slightly darker border.', '3. wing pattern: the forewings have a distinct kidney-shaped marking called the reniform spot, which is outlined in white. there is also a white, elongated marking called the claviform spot near the inner margin of the wing. the subterminal line is pale and wavy, and the terminal line consists of a series of black dots.', '4. antennae: the antennae of males are feathery (bipectinate), while females have simple, thread-like antennae.', '5. body: the body of the adult moth is stout, with a thick thorax and abdomen. the thorax is covered with dark, dense hair, while the abdomen is lighter in color, matching the hindwings.', '6. larvae: the caterpillars are grayish-brown to black, with a lighter-colored underside. they have a pale, narrow stripe running along the length of their back and a broader, darker stripe on each side. the head is dark brown with a lighter, inverted y-shaped marking.', '7. pupae: the pupae are reddish-brown and measure about 20-25 mm (0.8-1 inch) in length. they are found in soil cells, where the larvae have burrowed to pupate.', '8. eggs: the eggs are small, round, and slightly flattened, with a white to pale yellow color. they are laid in clusters on the leaves of host plants.']","Brown and grey moth, 6 circles on the back."
Melanoplus differentialis,Orthoptera,Acrididae,Differential Grasshopper,"['melanoplus differentialis, commonly known as the differential grasshopper, is a species of grasshopper belonging to the family acrididae. here are some morphological identifying features of melanoplus differentialis:', '1. size: adult differential grasshoppers are medium to large-sized insects, with a body length ranging from 0.9 to 1.7 inches (22 to 43 mm).', '2. color: they exhibit variation in color, ranging from greenish-yellow to brown or reddish-brown. the coloration helps them blend in with their surroundings.', '3. wings: they have well-developed wings, with the forewings (tegmina) being narrow and leathery, and the hindwings being broad and membranous. the hindwings are usually clear or yellowish with a dark border.', '4. hind legs: their hind legs are large and powerful, adapted for jumping. the femur (upper part of the hind leg) has a distinct dark-colored ""herringbone"" pattern along its length.', '5. antennae: the antennae of differential grasshoppers are relatively short and filiform (thread-like).', '6. head: the head is large and somewhat rectangular in shape, with large compound eyes and a relatively small, cone-shaped pronotum (the plate-like structure covering the thorax).', ""7. male and female differences: males are generally smaller than females. the male's abdomen tapers towards the end, while the female's abdomen is more rounded and ends with a pointed ovipositor (egg-laying structure)."", '8. nymphs: the nymphs (immature stages) resemble the adults but are smaller and wingless. they also have the characteristic herringbone pattern on their hind femur.', 'these features can help in identifying melanoplus differentialis from other grasshopper species. however, it is essential to consider that color and pattern variations can occur within the species, so a combination of features should be examined for accurate identification.']",Dark brown grasshopper with black herringbone pattern in the hind leg.
Lochmaeus bilineata,Lepidoptera,Notodontidae,double-lined prominent moth,"['lochmaeus bilineata, commonly known as the double-lined prominent moth, is a species of moth in the family notodontidae. here are some morphological identifying features of this species:', '1. wingspan: adult lochmaeus bilineata moths have a wingspan of about 30-45 mm.', '2. coloration: they have a distinct color pattern on their wings, with a combination of gray, brown, and white colors. the forewings typically have a grayish-brown base color with white lines and patches.', '3. double lines: one of the most distinguishing features of this species is the presence of two parallel white lines running across the forewings, which give the moth its common name, double-lined prominent. these lines are often bordered by a darker band on the outside.', '4. hindwings: the hindwings of lochmaeus bilineata are usually paler in color compared to the forewings, often appearing as a light gray or beige color.', '5. body: the body of the moth is relatively stout and covered in scales that match the coloration of the wings.', '6. head: the head of the moth has large, compound eyes and a pair of feathery antennae.', '7. caterpillar: the caterpillar of lochmaeus bilineata is green with yellow lateral lines and has a hump on the back. it also has a pair of long, curved, horn-like structures on the thorax.', '8. host plants: the larvae of lochmaeus bilineata feed on a variety of deciduous trees, including oak, birch, and willow.', '9. range: this species is found in north america, primarily in the eastern united states and canada.', '10. activity: adult lochmaeus bilineata moths are nocturnal and are attracted to light. the caterpillars are usually found on the leaves of their host plants during the day.']",Gray moth has two black lines. 
Phanogomphus spicatus,Odonata,Gomphidae,dusky clubtail,"['phanogomphus spicatus, also known as the spicebush clubtail, is a species of dragonfly in the family gomphidae. the following are some morphological identifying features of this species:', '1. size: adult phanogomphus spicatus have a body length of about 45-55 mm (1.8-2.2 inches).', '2. coloration: they have a yellow and black color pattern on their thorax and abdomen. the thorax has yellow lateral stripes on a black background, while the abdomen has yellow dorsal and lateral spots or rings on a black background.', '3. head: the head is relatively large with widely separated eyes, which are greenish-blue or grayish-blue. the face is mostly yellow with a black t-shaped marking on the frons (forehead).', '4. wings: the wings are clear with a yellowish tint at the base. the wing venation is dark, and there is a small stigma (colored spot) near the wingtip.', '5. legs: the legs are black with yellow markings on the femur and tibia.', '6. abdominal club: the abdomen of the male phanogomphus spicatus is club-shaped, with segments 7-9 being wider than the preceding segments. the club is more pronounced in males than in females.', ""7. cerci: the male's cerci (paired appendages at the tip of the abdomen) are long, slender, and slightly upturned. they are used to hold the female during mating."", '8. female ovipositor: the female has a short, blade-like ovipositor (egg-laying structure) at the tip of her abdomen.', 'to accurately identify phanogomphus spicatus, it is essential to examine these morphological features in combination, as some of them may be similar to other species in the gomphidae family.']",Dark purple eyes and black joint segments.
Euschistus tristigmus,Hemiptera,Pentatomidae,dusky stink bug,"['euschistus tristigmus, commonly known as the brown stink bug, has several morphological features that help in its identification:', '1. color: euschistus tristigmus is generally brown or grayish-brown in color, which helps it blend in with its surroundings.', '2. size: adult brown stink bugs are typically about 12-15 mm long and about 7-8 mm wide.', '3. shape: euschistus tristigmus has a shield-like shape, with a broad, triangular pronotum (the area behind the head) and a more narrow, rounded abdomen.', '4. wings: brown stink bugs have two pairs of wings, with the front wings being thickened and leathery at the base and membranous at the tips. the hind wings are fully membranous and are folded beneath the front wings when at rest.', '5. antennae: euschistus tristigmus has five-segmented antennae, with the segments being dark at the base and lighter towards the tips.', '6. eyes: brown stink bugs have large, reddish-brown compound eyes and two small, simple eyes (ocelli) on the top of their head.', '7. mouthparts: euschistus tristigmus has piercing-sucking mouthparts, which it uses to feed on plant juices.', '8. legs: brown stink bugs have six legs, with the hind legs being slightly thicker than the front and middle legs. the legs are typically a lighter brown color than the body.', '9. scent glands: euschistus tristigmus, like other stink bugs, has scent glands located on the underside of the thorax, which produce a foul-smelling chemical when the bug is disturbed.', '10. tarsal segments: brown stink bugs have three-segmented tarsi (the last part of the leg, ending with the foot).', 'by looking for these morphological features, you can identify euschistus tristigmus and differentiate it from other stink bug species.']",Brown stink bug with black dots in the back.
Choristoneura fumiferana,Lepidoptera,Tortricidae,eastern spruce budworm,"['choristoneura fumiferana, commonly known as the eastern spruce budworm, is a species of moth that is a significant pest to spruce and fir trees in north america. the following are some morphological identifying features of c. fumiferana:', '1. size: the adult moth has a wingspan of approximately 22-28 mm.', '2. coloration: adult moths have variable coloration, ranging from grayish-brown to reddish-brown. their forewings often have dark bands and spots, while their hindwings are paler with a brownish tint.', '3. wing pattern: the forewings of the adult moth have a distinctive pattern of dark bands and spots, including a prominent dark spot near the middle of the wing, which is a useful identification feature.', '4. antennae: the antennae of c. fumiferana are bipectinate (comb-like) in males, while they are simple and thread-like in females.', '5. larvae: the larvae are greenish-brown with a dark brown head capsule. they have a pair of light-colored, broken lines running along the length of their body.', '6. pupae: the pupae are reddish-brown and are enclosed in a silken cocoon, often found within the foliage of host trees.', '7. eggs: the eggs are oval-shaped and laid in clusters on the needles of host trees. they are initially light green, turning yellowish as they mature.', 'in summary, the eastern spruce budworm can be identified by its size, coloration, wing pattern, antennae, and larval and pupal features. these characteristics can help researchers and pest management professionals identify and monitor populations of this destructive forest pest.']","Moth has white, black, and brown blotches on the forewings, hindwing has green color."
Menecles insertus,Hemiptera,Pentatomidae,Elf Shoe Stink bug,"['menecles insertus is a species of beetle in the family cerambycidae, also known as longhorn beetles. while there is limited information available on this specific species, we can discuss some general morphological features that are common in cerambycidae beetles, which may help in identifying menecles insertus.', '1. antennae: longhorn beetles are known for their elongated antennae, which can often be as long as or longer than their body. the antennae are usually composed of 11 segments and are filiform (thread-like) in shape.', '2. body shape: the body of menecles insertus, like other longhorn beetles, is likely to be elongate and cylindrical.', '3. size: cerambycidae beetles can vary greatly in size, with some species measuring only a few millimeters, while others can reach up to several centimeters in length. the size of menecles insertus is not well documented, but it is likely to be within this range.', '4. coloration and markings: the coloration and markings of menecles insertus are not well known, but many longhorn beetles exhibit cryptic coloration or patterns that help them blend in with their environment. some species also have bright, contrasting colors or markings that serve as warning signals to predators.', '5. legs: longhorn beetles typically have six legs, with each leg having five tarsal segments. the legs are often slender and adapted for walking or clinging onto vegetation.', '6. elytra: the hardened forewings, or elytra, of menecles insertus are likely to be elongate and cover the abdomen when the beetle is at rest. the elytra meet in a straight line along the midline of the body and may have ridges or other sculpturing.', '7. eyes: the eyes of cerambycidae beetles are generally notched or emarginate, meaning they have an indentation or notch on the inner margin.', 'to accurately identify menecles insertus, it would be helpful to consult an entomologist or a taxonomic key specifically designed for cerambycidae beetles. additionally, examining specimens or photographs of this species could provide more information on its unique morphological features.']",Brown Stink bug covered with small dark spots.
Ashy gray lady beetle,,,Epilachna beetle,"['the ashy gray lady beetle (olla v-nigrum) is a species of ladybird beetles that can be identified by the following morphological features:', '1. size: ashy gray lady beetles are typically around 5-6 millimeters in length, making them a medium-sized ladybird beetle.', '2. color: as their name suggests, the primary color of these beetles is ashy gray. their elytra (wing covers) have a grayish-blue hue.', ""3. markings: one of the most distinguishing features of the ashy gray lady beetle is the presence of a black 'v' or 'u' shaped marking on their pronotum (the plate-like structure that covers the thorax). this marking is often bordered by white or cream-colored edges. additionally, they may also have small, irregular black spots on their elytra."", '4. shape: like other ladybird beetles, the ashy gray lady beetle has a somewhat rounded and convex shape, with a slightly flattened appearance when viewed from the side.', '5. legs and antennae: the legs and antennae of the ashy gray lady beetle are black or dark brown in color. their legs are relatively short, while their antennae are moderately long and slightly clubbed at the ends.', '6. head: the head of the ashy gray lady beetle is mostly concealed from above by the pronotum, with only their eyes and antennae being visible.', 'by observing these morphological features, you can identify an ashy gray lady beetle with reasonable certainty.']",
